Symbol,lung_tsne2d_hier_clust,brain_tsne2d_hier_clust,pbmc_tsne2d_hier_clust,liver_tsne2d_hier_clust,colon_tsne2d_hier_clust,gut_tsne2d_hier_clust,heart_tsne2d_hier_clust,kidney_tsne2d_hier_clust,retina_tsne2d_hier_clust
COX5B,92,80,30,54,106,59,139,85,49
COX6A1,85,113,30,55,104,134,94,126,52
COX6A2,77,30,52,105,81,5,120,138,17
COX6B1,85,113,30,55,104,134,94,126,52
COX6B2,27,14,58,85,65,126,28,72,99
COX6C,87,113,31,55,103,134,94,126,52
COX7A1,92,80,29,54,85,59,139,85,49
COX7A2,87,113,30,55,103,134,94,126,52
COX7A2L,87,113,31,55,103,134,94,126,52
COX7A2P2,61,112,69,118,44,,25,73,112
COX7B,92,80,29,54,85,59,139,85,49
COX7B2,92,80,29,54,85,59,94,6,50
COX7C,87,113,31,55,103,134,94,126,52
COX8A,87,114,28,55,102,135,94,127,51
CP,49,74,35,99,130,75,58,12,38
CPA1,52,93,,16,100,18,31,36,1
CPA2,108,31,41,63,75,35,59,88,2
CPA3,42,11,126,115,58,131,7,15,110
CPA4,49,75,21,4,130,73,116,36,39
CPA5,113,68,38,101,71,62,57,9,6
CPA6,63,45,63,16,93,16,42,140,143
CPAMD8,74,7,46,27,55,55,29,55,95
CPB2,77,67,85,99,48,53,58,9,3
CPD,10,117,10,15,107,86,149,25,89
CPE,107,123,37,2,123,78,111,31,55
CPEB1,45,60,97,47,11,96,68,43,28
CPEB2,76,52,82,86,81,35,49,140,132
CPEB3,74,24,110,58,43,8,61,109,125
CPEB4,45,60,95,76,15,102,68,40,73
CPED1,90,41,95,58,3,20,146,63,20
CPLANE1,66,100,125,37,28,28,18,103,118
CPLANE2,76,33,82,64,86,34,44,89,17
CPLX1,95,88,41,64,79,36,59,82,4
CPLX2,78,33,52,64,79,36,46,87,4
CPLX3,37,18,87,111,131,49,63,123,10
CPLX4,9,117,14,13,116,80,148,21,89
CPM,76,31,41,99,84,54,44,89,16
CPN1,33,49,38,86,47,51,52,134,14
CPN2,73,39,61,26,32,8,34,87,138
CPNE1,82,42,70,32,33,29,10,101,23
CPNE2,24,25,124,134,24,109,61,61,80
CPNE3,80,106,125,38,39,22,115,90,119
CPNE4,30,92,103,120,3,105,141,122,124
CPNE5,23,17,55,135,64,127,82,54,96
CPNE6,54,40,114,32,91,8,14,115,137
CPNE7,26,17,124,21,65,123,35,65,96
CPNE8,102,122,17,8,115,76,122,27,57
CPNE9,71,45,60,24,87,18,43,143,141
CPOX,85,115,30,39,106,59,139,85,50
CPPED1,82,38,83,82,34,3,36,76,146
CPQ,99,81,33,137,128,65,107,7,45
CPS1,85,115,30,39,106,59,139,130,49
CPSF1,2,62,96,47,11,95,68,108,29
CPSF2,48,61,95,47,11,104,74,43,28
CPSF3,47,64,102,42,5,106,76,42,76
CPSF4,46,72,102,121,3,105,76,128,76
CPSF4L,61,26,120,113,60,26,61,118,106
CPSF6,1,10,96,50,9,95,97,108,36
CPSF7,45,62,96,46,11,96,68,107,29
CPT1A,98,127,32,4,105,63,125,32,52
CPT1B,94,23,25,136,76,62,59,5,1
CPT1C,38,75,26,90,20,132,54,36,100
CPT2,85,113,30,54,104,58,139,126,50
CPTP,19,52,124,74,52,137,36,56,94
CPVL,54,25,114,22,60,130,61,121,107
CPXCR1,34,52,78,20,88,14,36,143,137
CPXM1,49,24,117,37,49,9,8,125,139
CPXM2,38,96,78,56,66,136,35,70,16
CPZ,64,100,109,118,34,33,10,100,24
CR1,98,48,93,31,45,119,113,51,27
CR1L,93,48,99,24,53,119,85,56,141
CR2,63,48,1,133,133,120,102,56,16
CRABP1,61,41,76,82,33,2,14,111,25
CRABP2,38,66,46,103,132,49,65,123,8
CRACD,71,40,74,82,89,2,37,73,141
CRACDL,67,42,68,36,33,21,16,101,112
CRACR2A,16,13,54,80,20,121,84,71,71
CRACR2B,53,37,126,60,53,136,30,51,94
CRADD,32,50,89,83,52,137,41,114,133
CRAMP1,31,96,105,115,40,107,133,121,103
CRAT,92,91,29,39,106,58,118,85,50
CRB1,64,52,74,61,86,7,43,76,146
CRB2,58,99,114,116,44,32,21,137,73
CRB3,101,76,27,33,125,76,110,8,45
CRBN,46,72,102,43,1,106,76,41,75
CRCP,43,72,98,43,16,103,76,40,78
CRCT1,15,55,3,108,17,119,84,39,69
CREB1,41,53,94,76,12,111,66,46,77
CREB3,6,111,8,15,107,79,147,24,88
CREB3L1,6,111,8,11,108,79,147,22,87
CREB3L2,63,51,86,83,86,55,32,77,12
CREB3L3,34,6,91,92,85,47,62,129,10
CREB3L4,75,52,62,86,88,54,47,77,14
CREB5,12,55,3,79,18,119,146,39,61
CREBBP,40,59,92,75,14,97,70,45,72
CREBL2,23,73,124,134,69,147,60,120,97
CREBRF,22,26,128,66,60,147,61,117,96
